Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Record ID
7907954,2,new construction wood frame,08/06/1979,2628,089,4520,,17th,St,1,,,expired,06/20/1991,08/06/1979,02/22/1988,,,,,3,,,282800,,,,2 family dwelling,2,2,,,,,,,8,Castro/Upper Market,94117,528140150
7907954,2,new construction wood frame,08/06/1979,2628,090,4520,,17th,St,2,,,expired,06/20/1991,08/06/1979,02/22/1988,,,,,3,,,282800,,,,2 family dwelling,2,2,,,,,,,8,Castro/Upper Market,94117,529140151
7907955,2,new construction wood frame,08/06/1979,2628,038,4514,,17th,St,,,,expired,06/20/1991,08/06/1979,02/22/1988,,,,,3,,,309700,,,,2 family dwelling,2,4,,,,,,,,,94117,530140112
7907955,2,new construction wood frame,08/06/1979,2628,087,4514,,17th,St,1,,,expired,06/20/1991,08/06/1979,02/22/1988,,,,,3,,,309700,,,,2 family dwelling,2,4,,,,,,,8,Castro/Upper Market,94117,531253874
7907955,2,new construction wood frame,08/06/1979,2628,088,4514,,17th,St,2,,,expired,06/20/1991,08/06/1979,02/22/1988,,,,,3,,,309700,,,,2 family dwelling,2,4,,,,,,,8,Castro/Upper Market,94117,532253876
7907955,2,new construction wood frame,08/06/1979,2628,038,4516,,17th,St,,,,expired,06/20/1991,08/06/1979,02/22/1988,,,,,3,,,309700,,,,2 family dwelling,2,4,,,,,,,,,94117,533280284
8307557S,1,new construction,08/04/1983,3736,0027,299,,02nd,St,,,,cancelled,10/06/1998,08/04/1983,,,,,,9,,,15200000,,,,office,0,2,,,,1,constr type 1,Y,,,94121,766741358321
8100145,2,new construction wood frame,01/06/1981,4711,087,6,,Hawkins,Ln,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,109600,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1583174309
8100146,2,new construction wood frame,01/06/1981,4711,088,2,,Hawkins,Ln,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,114300,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1584174310
8100147,2,new construction wood frame,01/06/1981,4711,091,1,,Hawkins,Ln,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1585174311
8100148,2,new construction wood frame,01/06/1981,4711,092,5,,Hawkins,Ln,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1586174312
8100149,2,new construction wood frame,01/06/1981,4711,093,9,,Hawkins,Ln,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1587174313
8100151,2,new construction wood frame,01/06/1981,4711,095,25,,Hawkins,Ln,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,12250,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1588174315
8100152,2,new construction wood frame,01/06/1981,4711,096,29,,Hawkins,Ln,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1589174316
8100153,2,new construction wood frame,01/06/1981,4711,097,33,,Hawkins,Ln,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1590174317
8100154,2,new construction wood frame,01/06/1981,4711,098,37,,Hawkins,Ln,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1591174318
8100170,2,new construction wood frame,01/06/1981,4711,039,16,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,114300,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1592174264
8100171,2,new construction wood frame,01/06/1981,4711,040,14,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,109600,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1593174265
8100172,2,new construction wood frame,01/06/1981,4711,041,12,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,109600,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1594174266
8100173,2,new construction wood frame,01/06/1981,4711,042,10,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,114300,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1595174267
